employment_matrix,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",education_needed,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
  Diagnostic medical sonographers,29-2032,84.9,97.7,12.8,15.1,"84,470",Associate's degree,4.2,3.2,2.7,3.2,3.6,4.0,3.3,4.0,3.1,2.3,2.5,2.7,3.5,2.5,3.0,3.3,3.7
  Nuclear medicine technologists,29-2033,17.8,17.6,-0.2,-1.3,"92,500",Associate's degree,4.0,3.7,2.5,3.1,3.7,4.2,3.0,4.0,3.2,3.3,2.4,2.3,3.7,2.7,3.7,3.3,3.5
  Radiologic technologists and technicians,29-2034,227.8,241.0,13.1,5.8,"73,410",Associate's degree,4.0,3.7,2.4,3.0,3.6,3.9,3.2,4.0,3.1,2.3,2.4,2.7,3.5,2.3,2.6,3.3,3.3
  Magnetic resonance imaging technologists,29-2035,43.4,47.0,3.6,8.4,"83,740",Associate's degree,3.9,3.8,2.6,3.1,3.5,4.2,3.0,3.7,3.2,2.6,2.4,2.3,3.5,2.6,3.0,3.3,3.5
  Medical dosimetrists[2],29-2036,4.2,4.5,0.2,5.4,"132,880",Bachelor's degree,4.1,3.8,2.5,3.3,3.5,4.3,3.1,4.0,3.4,3.0,2.8,2.7,3.6,2.8,3.0,3.2,3.6
  Emergency medical technicians[2],29-2042,169.7,180.0,10.3,6.1,"38,930",Postsecondary nondegree award,3.8,2.9,2.5,2.8,3.5,3.9,2.8,3.8,2.8,2.2,2.6,2.9,3.4,2.5,1.8,3.2,3.1
  Paramedics[2],29-2043,100.6,106.5,5.9,5.9,"53,180",Postsecondary nondegree award,4.2,3.6,2.8,3.6,3.8,4.0,2.7,4.3,3.8,3.1,1.7,2.8,3.9,2.7,2.5,3.5,3.9
  Dietetic technicians,29-2051,25.0,26.1,1.1,4.3,"36,520",Associate's degree,4.2,3.1,3.1,3.3,3.7,3.8,2.5,4.0,3.6,3.2,1.9,2.4,3.5,3.0,2.1,3.2,3.1
  Pharmacy technicians,29-2052,463.9,497.2,33.3,7.2,"40,300",High school diploma or equivalent,3.9,3.6,2.3,3.0,3.7,4.2,2.7,3.6,3.2,3.2,1.7,2.4,3.3,2.7,2.1,3.4,3.5
  Psychiatric technicians,29-2053,124.6,145.8,21.3,17.1,"39,700",Postsecondary nondegree award,4.1,3.2,2.8,3.1,3.2,3.5,2.1,4.3,3.3,2.0,1.4,2.4,3.1,2.4,1.9,3.4,3.5
  Surgical technologists,29-2055,112.8,119.3,6.5,5.8,"60,610",Postsecondary nondegree award,4.1,2.6,2.6,2.9,3.1,4.3,3.2,3.8,3.4,2.7,2.5,2.7,3.7,2.9,2.3,3.0,3.1
  Veterinary technologists and technicians,29-2056,125.7,150.0,24.3,19.3,"43,740",Associate's degree,4.1,3.2,2.5,3.3,3.5,4.0,3.0,3.7,3.2,3.0,2.3,2.9,3.5,2.8,3.1,3.2,3.5
  Ophthalmic medical technicians,29-2057,74.8,85.3,10.5,14.1,"41,780",Postsecondary nondegree award,4.1,3.4,2.1,2.7,3.6,3.9,2.9,3.8,3.1,2.7,2.0,2.0,3.3,2.1,1.9,3.1,3.2
  Licensed practical and licensed vocational nurses,29-2061,657.8,674.7,16.9,2.6,"59,730",Postsecondary nondegree award,4.2,3.2,2.6,3.4,3.3,3.9,2.8,4.1,3.6,2.9,1.7,2.9,3.8,2.7,2.2,3.4,3.6
  Medical records specialists[2],29-2072,191.5,208.2,16.7,8.7,"48,780",Postsecondary nondegree award,3.5,3.8,1.9,2.7,2.6,3.8,2.8,3.0,2.3,1.9,1.2,1.4,3.1,2.3,1.4,3.1,3.8
"  Opticians, dispensing",29-2081,77.3,79.5,2.3,2.9,"44,170",High school diploma or equivalent,4.0,3.7,2.8,3.2,4.3,3.7,3.1,3.8,3.4,3.1,2.2,1.8,3.7,2.9,2.2,3.5,3.7
  Orthotists and prosthetists,29-2091,9.1,10.4,1.4,15.1,"78,100",Master's degree,4.3,3.6,3.3,3.6,3.5,3.7,3.2,4.1,3.3,2.8,2.3,2.3,3.9,2.8,2.9,3.5,4.0
  Hearing aid specialists,29-2092,10.5,12.0,1.6,14.9,"58,670",High school diploma or equivalent,4.1,3.8,2.7,3.1,4.1,3.6,2.7,4.0,2.7,2.4,2.3,1.6,3.8,2.6,2.1,3.5,3.4
"  Health technologists and technicians, all other[2]",29-2099,177.9,190.4,12.5,7.0,"47,470",Postsecondary nondegree award,4.0,3.4,2.5,3.2,3.4,4.0,2.9,3.8,3.2,2.8,2.0,2.5,3.5,2.6,2.4,3.3,3.5
  Health information technologists and medical registrars[2],29-9021,39.1,45.5,6.4,16.3,"62,990",Associate's degree,3.7,4.3,2.6,3.7,2.6,3.6,1.8,3.1,3.3,3.3,1.4,1.2,3.4,2.8,2.0,3.5,3.8
  Athletic trainers,29-9091,34.3,38.7,4.3,12.7,"57,930",Master's degree,4.3,3.4,3.0,3.4,3.3,4.0,2.6,4.2,3.2,2.1,1.6,2.7,4.0,2.7,2.5,3.6,3.6
  Genetic counselors,29-9092,3.5,4.1,0.6,16.1,"95,770",Master's degree,4.2,3.5,2.5,3.5,3.2,3.8,1.5,4.0,2.9,3.1,1.0,1.1,3.7,2.1,3.1,3.6,4.2
  Surgical assistants,29-9093,21.3,22.7,1.4,6.7,"59,160",Postsecondary nondegree award,4.2,3.2,2.8,3.2,3.5,4.3,3.8,4.1,3.3,2.6,2.1,2.9,3.4,2.7,2.6,3.4,3.5
"  Healthcare practitioners and technical workers, all other[2]",29-9099,41.9,44.3,2.4,5.8,"63,630",Postsecondary nondegree award,4.0,3.7,2.8,3.5,3.1,3.9,2.5,3.7,3.3,2.7,1.6,2.1,3.6,2.7,2.3,3.5,3.7
  Home health and personal care aides,31-1120,"3,961.9","4,782.4",820.5,20.7,"33,530",High school diploma or equivalent,3.9,2.6,2.8,2.8,3.2,3.7,2.1,4.2,3.2,2.1,1.8,2.8,3.3,2.7,1.8,3.0,3.2
  Nursing assistants,31-1131,"1,419.4","1,481.8",62.4,4.4,"38,200",Postsecondary nondegree award,4.0,2.6,2.7,2.7,3.3,3.8,2.3,4.2,3.2,2.2,1.7,3.1,3.1,2.3,1.8,3.1,3.1
  Orderlies,31-1132,50.0,52.2,2.3,4.5,"36,830",High school diploma or equivalent,3.5,2.2,2.0,2.4,3.4,3.7,3.0,3.9,2.6,1.8,1.7,3.4,3.2,2.0,1.5,3.0,2.6
  Psychiatric aides,31-1133,36.0,36.3,0.3,0.8,"39,160",High school diploma or equivalent,3.9,2.9,2.7,2.8,3.3,3.6,2.4,4.1,3.3,2.1,1.6,2.8,3.3,2.5,1.6,3.4,3.4
  Occupational therapy assistants,31-2011,47.5,58.1,10.6,22.3,"67,010",Associate's degree,4.2,3.3,3.3,3.1,3.5,3.7,2.6,4.4,3.4,2.1,1.7,2.9,3.8,2.7,1.9,3.3,3.7
  Occupational therapy aides,31-2012,4.6,4.8,0.2,3.7,"36,970",High school diploma or equivalent,3.9,3.2,2.7,2.8,3.5,3.5,2.2,4.2,3.4,2.1,2.0,2.9,3.4,2.7,1.9,3.2,3.3
  Physical therapist assistants,31-2021,108.5,136.0,27.5,25.4,"64,080",Associate's degree,4.1,3.4,2.8,3.0,3.6,3.7,2.8,4.2,3.1,2.2,2.0,3.0,3.8,2.5,2.5,3.5,3.4
  Physical therapist aides,31-2022,44.3,45.6,1.3,2.9,"33,520",High school diploma or equivalent,3.9,3.3,2.5,2.7,3.4,3.5,2.6,3.9,3.0,2.1,1.6,2.9,3.2,2.3,2.0,2.9,3.1
  Massage therapists,31-9011,147.1,173.2,26.0,17.7,"55,310",Postsecondary nondegree award,3.8,2.5,2.7,2.8,3.3,3.3,2.7,4.0,2.3,1.9,1.2,3.1,3.5,2.5,2.1,3.0,3.1
  Dental assistants,31-9091,376.5,408.0,31.5,8.4,"46,540",Postsecondary nondegree award,4.1,3.4,2.6,2.9,3.8,3.7,3.1,3.8,3.3,2.2,2.1,2.6,3.2,2.9,1.9,3.4,3.2
  Medical assistants,31-9092,783.9,901.9,118.0,15.0,"42,000",Postsecondary nondegree award,4.2,3.6,2.9,3.1,3.6,4.0,2.4,4.0,3.2,2.7,2.1,2.3,3.3,3.0,2.2,3.5,3.7
  Medical equipment preparers,31-9093,70.7,74.7,4.0,5.7,"45,280",High school diploma or equivalent,4.0,3.3,2.6,3.0,3.4,4.0,3.2,3.5,3.1,2.3,2.7,2.9,3.5,2.9,2.4,2.9,3.2
  Medical transcriptionists,31-9094,54.5,51.9,-2.6,-4.7,"37,060",Postsecondary nondegree award,3.5,3.8,1.9,2.7,2.6,3.8,2.8,3.0,2.3,1.9,1.2,1.4,3.1,2.3,1.4,3.1,3.8
  Pharmacy aides,31-9095,44.0,44.4,0.4,0.9,"36,200",High school diploma or equivalent,3.9,3.1,2.2,2.6,4.0,3.8,2.6,3.6,3.1,2.7,1.8,2.2,3.1,2.5,1.4,3.1,3.0
  Veterinary assistants and laboratory animal caretakers,31-9096,118.2,141.1,22.9,19.4,"36,440",High school diploma or equivalent,3.8,3.3,2.3,2.8,3.7,4.0,2.8,3.7,3.1,2.8,2.1,2.9,3.4,2.8,2.6,3.0,3.2
  Phlebotomists,31-9097,141.2,152.2,11.0,7.8,"41,810",Postsecondary nondegree award,4.1,3.5,2.6,2.9,3.8,4.3,2.8,4.1,3.5,2.2,2.0,2.5,3.4,2.9,2.5,3.2,3.3
"  Healthcare support workers, all other[2]",31-9099,108.5,114.6,6.1,5.6,"44,490",High school diploma or equivalent,4.1,3.4,2.7,3.0,3.6,3.9,2.7,3.9,3.1,2.5,2.0,2.5,3.3,2.9,2.1,3.3,3.4
  First-line supervisors of correctional officers,33-1011,55.5,54.6,-0.9,-1.6,"70,530",High school diploma or equivalent,4.2,3.8,2.6,3.5,3.7,3.7,2.1,3.9,4.2,2.3,1.8,2.9,3.9,3.0,1.4,3.7,3.7
  First-line supervisors of police and detectives,33-1012,144.5,150.0,5.5,3.8,"101,750",High school diploma or equivalent,4.3,3.7,2.9,3.6,4.2,4.1,2.6,4.0,4.2,2.6,1.9,2.5,4.1,3.4,1.7,3.8,3.9
  First-line supervisors of firefighting and prevention workers,33-1021,87.0,90.7,3.6,4.2,"86,220",Postsecondary nondegree award,4.1,3.4,2.9,3.3,3.9,4.1,2.9,4.0,4.3,2.7,2.8,3.1,4.0,3.3,2.5,3.6,3.6
  First-line supervisors of security workers[2],33-1091,67.8,70.3,2.5,3.7,"54,580",High school diploma or equivalent,4.0,3.6,2.9,3.5,3.4,3.6,1.9,3.8,3.9,2.8,1.5,1.6,3.8,3.2,1.1,3.5,3.8
"  First-line supervisors of protective service workers, all other[2]",33-1099,20.7,21.6,0.8,4.0,"65,050",High school diploma or equivalent,4.2,3.6,2.8,3.5,3.9,3.9,2.5,3.9,4.2,2.6,2.0,2.5,4.0,3.3,1.8,3.7,3.8
  Firefighters,33-2011,326.8,340.5,13.7,4.2,"57,120",Postsecondary nondegree award,4.3,3.1,2.7,3.2,3.7,4.0,3.2,4.0,3.6,2.8,3.1,3.4,3.8,2.7,2.7,3.4,3.1
  Fire inspectors and investigators,33-2021,14.9,15.5,0.7,4.5,"74,160",Postsecondary nondegree award,3.9,3.6,2.7,3.3,3.8,3.9,2.3,3.7,3.3,2.6,2.0,2.5,3.8,3.0,2.3,3.4,3.8
  Forest fire inspectors and prevention specialists,33-2022,2.4,2.8,0.4,16.3,"54,080",High school diploma or equivalent,4.0,3.5,2.7,3.2,3.6,3.7,2.7,3.5,3.8,2.5,2.6,2.7,4.0,2.8,2.5,3.5,3.3
  Bailiffs,33-3011,16.7,16.5,-0.2,-1.4,"53,040",High school diploma or equivalent,4.0,3.0,2.2,2.7,3.6,3.7,1.8,3.8,3.1,1.7,1.6,2.5,3.3,2.3,1.1,3.3,2.8
  Correctional officers and jailers,33-3012,370.9,346.0,-24.8,-6.7,"53,300",High school diploma or equivalent,4.0,3.5,2.6,3.2,3.7,4.0,2.9,3.7,3.6,2.2,2.1,2.9,3.7,2.7,1.5,3.6,3.2
  Detectives and criminal investigators,33-3021,113.4,116.0,2.6,2.3,"91,100",High school diploma or equivalent,4.3,3.8,2.9,3.5,4.0,4.2,2.4,3.8,3.3,2.4,1.8,2.4,4.1,2.7,1.8,3.8,3.8
  Fish and game wardens,33-3031,6.8,6.5,-0.3,-5.0,"60,380",Bachelor's degree,4.1,3.5,2.9,3.4,4.1,4.0,2.7,3.6,3.0,2.5,2.5,2.7,3.9,2.7,2.9,3.7,3.5
  Parking enforcement workers,33-3041,7.9,7.9,0.0,-0.4,"46,840",High school diploma or equivalent,3.9,3.1,2.6,2.8,3.6,3.5,3.0,3.5,2.9,2.2,2.5,2.6,3.4,2.5,1.8,3.0,3.1
  Police and sheriff's patrol officers,33-3051,674.2,700.6,26.4,3.9,"72,280",High school diploma or equivalent,4.3,3.5,2.7,3.3,4.3,4.1,2.7,4.1,3.6,2.3,2.0,3.0,3.9,2.7,1.8,3.7,3.6
  Transit and railroad police,33-3052,2.4,2.5,0.1,3.5,"72,250",High school diploma or equivalent,4.3,3.7,2.8,3.4,4.1,3.9,2.6,3.7,3.5,2.2,1.9,3.0,3.8,2.7,1.7,3.7,3.4
  Animal control workers,33-9011,12.0,12.6,0.6,4.9,"43,170",High school diploma or equivalent,4.2,3.2,2.8,3.1,4.2,3.8,2.4,3.4,2.8,2.0,1.9,2.6,3.6,2.7,1.8,3.4,3.3
  Private detectives and investigators,33-9021,38.8,40.7,1.9,5.0,"49,540",High school diploma or equivalent,4.0,3.8,2.9,3.6,3.3,3.9,2.3,3.1,2.8,2.4,1.7,1.7,3.8,2.8,1.3,3.5,3.7
  Gambling surveillance officers and gambling investigators,33-9031,11.0,11.3,0.3,2.6,"39,210",High school diploma or equivalent,3.9,3.8,2.3,3.2,2.8,4.2,2.7,3.3,3.3,2.5,1.6,1.8,3.8,2.5,1.2,3.1,3.4
  Security guards,33-9032,"1,229.6","1,256.3",26.6,2.2,"37,070",High school diploma or equivalent,4.1,3.6,3.1,3.0,4.0,3.9,2.1,3.9,3.6,2.1,1.9,2.5,3.4,2.8,2.0,3.2,3.0
  Crossing guards and flaggers,33-9091,93.0,97.2,4.2,4.5,"36,370",No formal educational credential,3.4,1.8,2.0,2.5,3.1,3.8,2.2,3.3,2.2,1.5,1.3,2.5,3.1,2.0,1.0,2.8,2.3
"  Lifeguards, ski patrol, and other recreational protective service workers",33-9092,129.1,137.9,8.8,6.8,"30,380",No formal educational credential,3.8,2.7,2.2,2.6,3.4,3.7,1.9,3.7,3.2,1.7,1.8,2.8,3.4,2.2,2.0,3.0,2.7
  Transportation security screeners,33-9093,51.7,52.2,0.5,0.9,"50,020",High school diploma or equivalent,3.9,2.7,2.1,2.8,3.6,4.1,3.0,3.3,3.1,1.9,2.1,2.9,3.2,2.3,1.3,3.1,3.0
  School bus monitors[2],33-9094,70.1,68.4,-1.7,-2.4,"33,130",High school diploma or equivalent,3.7,2.3,2.2,2.6,3.5,3.8,3.3,3.5,2.6,2.1,2.4,2.3,3.3,2.1,1.3,2.9,2.8
"  Protective service workers, all other[2]",33-9099,83.5,86.3,2.8,3.3,"39,360",High school diploma or equivalent,4.0,3.4,2.9,2.9,3.8,3.9,2.2,3.8,3.4,2.0,1.9,2.5,3.4,2.6,1.9,3.2,3.0
  Chefs and head cooks,35-1011,187.1,202.6,15.5,8.3,"58,920",High school diploma or equivalent,4.1,3.4,3.5,3.5,3.9,3.8,3.0,3.6,4.2,3.3,2.4,2.8,3.8,3.8,2.4,3.7,3.2
  First-line supervisors of food preparation and serving workers,35-1012,"1,211.4","1,288.2",76.8,6.3,"38,520",High school diploma or equivalent,3.8,2.8,2.5,3.1,4.1,3.7,2.9,3.6,3.9,3.1,1.8,2.7,3.8,3.2,1.5,3.4,3.0
"  Cooks, fast food",35-2011,682.2,588.5,-93.7,-13.7,"29,260",No formal educational credential,3.1,1.9,2.1,2.4,3.0,3.5,2.0,2.8,2.6,1.9,1.4,2.3,2.8,2.0,1.0,3.1,2.4
"  Cooks, institution and cafeteria",35-2012,456.3,471.1,14.9,3.3,"35,320",No formal educational credential,3.8,2.2,2.5,2.8,3.0,3.7,3.1,3.5,3.2,2.9,1.8,2.7,3.3,2.9,1.6,2.8,2.9
"  Cooks, private household",35-2013,37.8,35.4,-2.4,-6.3,"42,590",Postsecondary nondegree award,3.7,2.7,2.9,2.8,3.0,3.4,3.2,3.2,2.7,2.4,1.7,2.5,3.3,3.2,1.8,2.8,2.7
"  Cooks, restaurant",35-2014,"1,434.2","1,678.6",244.5,17.0,"35,780",No formal educational credential,3.7,2.0,2.8,2.7,3.2,3.6,3.2,3.2,3.3,2.6,1.9,2.7,2.9,2.8,1.7,2.7,2.6
"  Cooks, short order",35-2015,128.8,123.5,-5.3,-4.1,"34,130",No formal educational credential,3.6,2.1,2.5,2.4,3.4,3.4,2.8,3.1,3.0,2.3,1.8,2.6,3.0,2.7,1.5,2.9,2.6
"  Cooks, all other[2]",35-2019,20.0,21.1,1.0,5.2,"35,920",No formal educational credential,3.6,2.0,2.6,2.6,3.1,3.6,2.9,3.1,3.1,2.5,1.8,2.6,3.0,2.6,1.5,2.8,2.6
  Food preparation workers,35-2021,904.8,870.8,-34.0,-3.8,"32,420",No formal educational credential,3.4,2.0,2.5,2.5,3.6,3.4,2.7,3.4,3.3,2.2,1.7,2.7,3.0,2.4,1.7,2.9,2.5
  Bartenders,35-3011,734.3,798.9,64.5,8.8,"31,510",No formal educational credential,3.7,2.3,2.8,2.6,3.8,3.1,2.8,3.7,3.1,2.5,1.6,2.8,3.2,2.9,1.3,3.1,2.8
  Fast food and counter workers,35-3023,"3,734.1","3,946.5",212.5,5.7,"29,540",No formal educational credential,3.4,2.0,2.3,2.3,3.5,3.3,2.5,3.3,3.1,2.5,1.5,2.3,2.9,2.3,1.5,2.9,2.2
  Waiters and waitresses,35-3031,"2,277.9","2,300.8",22.9,1.0,"31,940",No formal educational credential,3.6,2.0,2.3,2.5,3.7,3.3,2.4,3.7,2.9,2.2,1.5,3.0,3.0,2.2,1.3,3.3,2.5
"  Food servers, nonrestaurant",35-3041,278.6,292.2,13.7,4.9,"33,110",No formal educational credential,3.6,2.4,2.4,2.7,3.4,3.5,2.6,3.5,3.1,2.2,1.7,2.9,3.1,2.5,1.6,2.9,2.5
  Dining room and cafeteria attendants and bartender helpers,35-9011,493.8,534.7,40.9,8.3,"31,180",No formal educational credential,3.5,2.1,2.1,2.3,3.6,3.1,2.8,3.5,2.8,1.9,1.6,3.1,2.8,2.5,1.2,2.8,2.2
  Dishwashers,35-9021,475.0,481.9,6.9,1.4,"31,200",No formal educational credential,3.3,1.8,2.2,2.2,2.6,3.0,3.0,3.2,2.9,2.1,2.3,2.8,3.1,2.5,1.5,2.5,2.1
"  Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,435.6,437.0,1.4,0.3,"29,220",No formal educational credential,3.5,2.1,2.0,2.3,3.9,3.0,2.0,3.4,2.7,2.3,1.2,2.3,2.9,2.0,1.5,3.4,2.5
"  Food preparation and serving related workers, all other[2]",35-9099,88.6,95.3,6.8,7.6,"33,870",No formal educational credential,3.4,2.0,2.1,2.3,3.3,3.0,2.6,3.4,2.8,2.1,1.7,2.8,2.9,2.4,1.4,2.9,2.2
  First-line supervisors of housekeeping and janitorial workers,37-1011,241.6,251.4,9.8,4.0,"46,650",High school diploma or equivalent,3.9,3.0,2.7,2.9,3.4,3.5,2.5,3.8,4.2,2.3,2.2,2.7,3.4,3.4,1.6,3.2,3.1
"  First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,222.4,230.2,7.8,3.5,"55,740",High school diploma or equivalent,3.9,3.1,2.8,3.1,3.6,3.7,3.0,3.3,4.1,2.9,2.8,2.8,3.8,3.5,2.5,3.3,3.2
"  Janitors and cleaners, except maids and housekeeping cleaners",37-2011,"2,431.6","2,507.3",75.8,3.1,"35,020",No formal educational credential,3.3,2.4,2.3,2.4,2.4,3.1,2.8,2.9,3.0,1.5,2.1,3.0,2.9,2.6,1.4,2.6,2.5
  Maids and housekeeping cleaners,37-2012,"1,335.5","1,346.2",10.8,0.8,"33,450",No formal educational credential,3.4,1.8,2.1,2.3,2.9,3.1,2.6,3.3,2.5,1.9,1.6,3.2,2.5,2.4,1.6,2.6,2.4
"  Building cleaning workers, all other[2]",37-2019,15.2,15.8,0.6,4.3,"39,900",No formal educational credential,3.4,2.2,2.2,2.4,2.6,3.1,2.8,3.0,2.9,1.7,2.0,3.1,2.8,2.5,1.5,2.6,2.4
  Pest control workers,37-2021,98.2,105.1,6.9,7.0,"43,470",High school diploma or equivalent,3.7,2.2,2.6,3.1,3.4,3.6,3.0,3.3,2.7,2.7,2.5,3.0,3.7,2.8,2.5,3.2,3.3
  Landscaping and groundskeeping workers,37-3011,"1,188.2","1,248.3",60.1,5.1,"37,360",No formal educational credential,3.4,1.5,2.4,2.4,2.7,3.3,2.9,3.2,2.7,1.9,2.5,3.2,2.6,2.2,2.2,2.5,1.9
"  Pesticide handlers, sprayers, and applicators, vegetation",37-3012,26.7,28.0,1.4,5.1,"44,070",High school diploma or equivalent,3.5,2.5,2.4,2.7,3.4,3.8,3.1,3.1,3.0,2.6,2.7,2.7,3.6,2.7,2.7,2.9,2.8
  Tree trimmers and pruners,37-3013,67.1,70.4,3.2,4.8,"49,070",High school diploma or equivalent,3.5,1.6,2.4,2.8,2.8,3.8,3.4,3.2,3.1,2.0,3.0,3.5,3.6,2.4,1.9,2.7,2.6
"  Grounds maintenance workers, all other[2]",37-3019,14.1,14.6,0.5,3.8,"43,310",No formal educational credential,3.4,1.6,2.4,2.5,2.7,3.3,3.0,3.2,2.7,1.9,2.6,3.2,2.7,2.2,2.2,2.5,2.0
  First-line supervisors of gambling services workers,39-1013,33.2,34.9,1.7,5.2,"61,210",High school diploma or equivalent,3.8,3.4,2.2,3.0,4.1,3.9,2.6,3.6,3.5,3.0,1.8,2.5,3.5,2.3,1.2,3.4,3.4
"  First-line supervisors of entertainment and recreation workers, except gambling services[2]",39-1014,123.3,134.6,11.2,9.1,"46,060",High school diploma or equivalent,3.9,2.9,3.0,3.2,3.8,3.5,2.0,4.0,3.7,2.3,1.6,2.3,3.9,3.1,1.6,3.6,3.4
  First-line supervisors of personal service workers,39-1022,155.9,171.7,15.8,10.1,"46,690",High school diploma or equivalent,3.9,2.9,3.0,3.2,3.8,3.5,2.0,4.0,3.7,2.3,1.6,2.3,3.9,3.1,1.6,3.6,3.4
  Animal trainers,39-2011,57.9,61.6,3.7,6.4,"38,810",High school diploma or equivalent,3.7,2.7,3.0,2.9,3.5,3.4,2.7,3.4,3.3,2.0,1.5,3.0,3.7,2.6,1.8,3.1,3.1
  Animal caretakers,39-2021,364.6,425.2,60.6,16.6,"31,200",High school diploma or equivalent,3.8,2.7,2.5,2.6,3.3,3.5,2.4,3.3,2.7,2.1,1.7,2.8,3.3,2.5,1.9,2.8,2.9
  Gambling dealers,39-3011,86.8,89.6,2.8,3.2,"32,240",High school diploma or equivalent,3.5,1.7,2.0,2.3,3.6,3.6,2.9,3.4,2.5,3.1,1.3,2.2,2.7,1.6,1.1,3.2,2.5
  Gambling and sports book writers and runners,39-3012,9.6,9.4,-0.2,-2.4,"29,170",High school diploma or equivalent,3.5,2.1,2.1,2.4,3.5,3.4,2.5,3.3,2.7,3.2,1.5,2.0,2.8,2.0,1.2,3.3,2.8
"  Gambling service workers, all other[2]",39-3019,14.5,14.9,0.4,2.9,"32,710",High school diploma or equivalent,3.5,1.8,2.0,2.4,3.6,3.6,2.9,3.4,2.5,3.1,1.3,2.2,2.7,1.7,1.1,3.2,2.5
  Motion picture projectionists,39-3021,2.6,2.5,-0.1,-5.0,"35,160",No formal educational credential,3.2,3.1,2.1,2.6,2.6,3.5,2.8,2.6,2.4,1.8,2.6,2.0,3.2,2.0,1.2,2.8,2.5
"  Ushers, lobby attendants, and ticket takers",39-3031,119.7,122.7,3.1,2.6,"29,780",No formal educational credential,3.5,2.3,2.2,2.3,3.8,3.0,2.3,3.5,2.5,2.0,1.5,2.2,2.8,1.8,1.2,3.0,2.5
  Amusement and recreation attendants,39-3091,381.5,398.6,17.1,4.5,"29,390",No formal educational credential,3.3,2.5,2.4,2.3,3.8,2.9,2.4,3.4,2.7,2.2,1.7,2.4,2.9,2.1,1.1,3.4,2.6
  Costume attendants,39-3092,6.5,7.0,0.5,7.1,"52,370",High school diploma or equivalent,3.5,2.5,3.7,2.8,2.3,3.3,3.0,3.4,3.0,1.9,1.7,2.4,3.2,2.6,1.5,2.9,2.9
"  Locker room, coatroom, and dressing room attendants",39-3093,15.5,16.7,1.2,8.0,"33,450",High school diploma or equivalent,3.3,1.4,2.1,2.1,3.3,2.8,2.2,3.5,2.4,1.5,1.4,2.3,2.6,1.7,1.3,3.0,2.4
"  Entertainment attendants and related workers, all other[2]",39-3099,7.9,8.3,0.4,5.2,"33,280",High school diploma or equivalent,3.4,2.3,2.3,2.3,3.8,3.1,2.5,3.4,2.6,2.3,1.6,2.4,2.8,1.9,1.1,3.3,2.6
  Embalmers,39-4011,3.4,3.5,0.0,1.2,"54,090",Associate's degree,4.0,3.3,2.6,2.9,3.8,4.0,2.9,3.9,2.9,2.1,2.0,2.5,3.7,2.7,2.8,3.4,3.0
  Crematory operators[2],39-4012,3.2,3.4,0.2,4.7,"41,670",High school diploma or equivalent,3.5,2.5,2.3,2.6,3.5,3.4,1.9,3.9,3.1,2.0,2.1,2.4,3.3,2.7,1.5,3.1,2.8
  Funeral attendants,39-4021,32.9,33.9,1.1,3.2,"33,850",High school diploma or equivalent,3.5,2.5,2.3,2.6,3.5,3.4,1.9,3.9,3.1,2.0,2.1,2.4,3.3,2.7,1.5,3.1,2.8
"  Morticians, undertakers, and funeral arrangers",39-4031,25.3,26.1,0.9,3.5,"51,030",Associate's degree,4.1,3.6,2.9,3.1,4.1,4.0,2.6,4.4,3.7,2.8,1.9,2.3,3.8,3.5,2.3,3.6,3.3
  Barbers,39-5011,78.4,83.3,5.0,6.4,"36,150",Postsecondary nondegree award,3.5,1.6,2.8,2.6,3.3,3.6,3.4,3.6,2.4,2.1,2.0,2.4,3.2,2.3,1.6,3.0,2.4
"  Hairdressers, hairstylists, and cosmetologists",39-5012,571.1,611.4,40.3,7.1,"34,970",Postsecondary nondegree award,3.9,2.4,3.2,2.9,3.8,3.5,3.4,3.8,3.0,2.3,1.8,2.6,3.5,2.5,1.8,3.2,3.0
"  Makeup artists, theatrical and performance",39-5091,7.4,8.1,0.7,9.4,"47,390",Postsecondary nondegree award,4.3,2.7,3.9,2.9,3.0,3.4,3.1,3.5,3.1,2.0,1.4,2.4,3.2,3.1,1.9,3.3,3.0
  Manicurists and pedicurists,39-5092,212.7,237.8,25.1,11.8,"34,250",Postsecondary nondegree award,3.3,1.7,2.5,2.2,2.5,3.0,2.9,3.1,2.2,1.8,1.5,1.6,2.4,2.0,1.7,2.6,2.3
  Shampooers,39-5093,13.3,14.5,1.3,9.5,"29,530",No formal educational credential,3.6,1.6,2.3,2.3,3.3,3.3,2.9,3.4,2.8,1.7,1.4,2.4,3.0,2.2,1.7,2.9,2.5
  Skincare specialists,39-5094,81.8,90.2,8.4,10.3,"43,200",Postsecondary nondegree award,4.0,1.6,2.9,2.7,3.7,3.6,2.9,3.9,2.5,1.6,1.5,2.2,3.2,1.9,1.9,3.2,2.9
